POLYMER_NAME,SMILES,ElasticModulus,Volume_Surface_Ratio,Shape_Normalized,Flexibility_Index,Mass_Density,Polarity_Index,Hydrophobicity_Balance,Refractivity_Efficiency,Connectivity_Density,Topological_Size_Ratio,Surface_Stiffness_Ratio
PLA,CC(O)C(=O)O,15.013,1.53900563813429,6,0.166666666666667,4.43371430259,9.58833333333333,-0.10964,0.212088539493621,0.833333333333333,0,28.765
ABS_Acrylonitrile,C=CC#N,13.266,2.14054054054054,4,0,3.15669244497323,5.9475,0.34799,0.292431192660551,0.75,0,23.79
ABS_Styrene,C=CC1=CC=CC=C1,13.019,104.152,4,0.111111111111111,2.77494471531719,0,2.3296,0.347430386488132,1,0.125,0
ABS_Butadiene,C=CC=C,13.523,54.092,4,0.25,2.52837244087127,0,1.3584,0.370180788499238,0.75,0,0
PET,OCCOC(=O)C1=CC=CC=C1C(=O)O,14.0123333333333,2.4777201461747,7.5,0.25,4.06000819013475,5.58866666666667,0.0762714285714286,0.240403437744158,1,0.0666666666666667,16.766
PETG_Modified,OCCOCC(=O)C1=CC=CC=C1C(=O)O,14.01325,2.64307438406224,8,0.352941176470588,3.95878283654033,5.239375,0.0823428571428572,0.247041010248122,1,0.0625,11.9757142857143
Nylon_6,NCCCCCC(=O)O,14.575,2.03941231343284,9,0.555555555555556,3.62780780016705,7.03555555555556,0.11802,0.265997351995461,0.888888888888889,0,10.5533333333333
Nylon_66,NCCCCC(=O)NCCCCCC(=O)O,14.39425,2.46529651038322,16,0.625,3.65458616383339,5.77625,0.125228571428571,0.268122589793695,0.9375,0,8.40181818181818
TPU,O=C(NCCCCN)OCCCCO,14.5907142857143,2.38688946015424,14,0.571428571428571,3.71677744641905,6.04142857142857,0.028,0.262867930043358,0.928571428571429,0,9.39777777777778
PEEK,O=C1C=CC(=O)C=C1OC2=CC=CC=C2O,13.512,3.3466253869969,5.33333333333333,0.111111111111111,3.7947194928017,3.975,0.22715,0.257706545360787,1.0625,0.125,21.2
PEI,O=C1NC(=O)C2=CC=CC=C2O1,13.5943333333333,2.54615264554394,4,0,3.69874412477582,5.25583333333333,0.09626,0.262622157775449,1.08333333333333,0.166666666666667,63.07
PMMA,CC(C)(C(=O)O)C,14.5904285714286,2.66665796344648,7,0,3.6358167086733,5.32857142857143,0.372366666666667,0.262678289199383,0.857142857142857,0,37.3
Polycarbonate,O=C(Oc1ccccc1)Oc2ccccc2,13.38875,5.8642211880646,5.33333333333333,0.111111111111111,3.53872076119995,2.220625,0.816100000000001,0.276628566118391,1.0625,0.125,11.8433333333333
Polystyrene,C=CC1=CC=CC=C1,13.019,104.152,4,0.111111111111111,2.77494471531719,0,2.3296,0.347430386488132,1,0.125,0
PVA,CC(O),15.3563333333333,2.16999528968441,3,0,3.34808645474498,6.74333333333333,-0.000466666666666671,0.271087127408698,0.666666666666667,0,20.23
Polypropylene,CC(C),14.699,44.097,3,0,2.59929266136163,0,1.4163,0.354014679468701,0.666666666666667,0,0
