POLYMER_NAME,SMILES,NumHeavyAtoms,NumHeteroatoms,FractionCSP3,NumAliphaticRings,NumAromaticRings,RadiusOfGyration,Asphericity,Eccentricity,LabuteASA,BalabanJ,BertzCT,MaxPartialCharge,MinPartialCharge,HeavyAtomMolWt,NHOHCount,NOCount
PLA,CC(O)C(=O)O,6,3,0.666666666666667,0,0,1.64718463473957,0.146445782213352,0.859336707543448,43.8222883783199,4.80330330946445,177.367348791168,0.331723079571424,-0.479335598996327,84.03,2,3
ABS_Acrylonitrile,C=CC#N,4,1,0,0,0,1.44502153702751,0.744939512888579,0.995588902952229,29.3870234064107,4.07280502921978,127.605671048261,0.0905313753738047,-0.193121260786728,50.04,0,1
ABS_Styrene,C=CC1=CC=CC=C1,8,0,0,0,1,2.02229813933812,0.466022093751802,0.972797263286926,60.7114483174485,3.72040897332558,442.412033906076,0.0629015791310043,-0.0984700500401651,96.088,0,0
ABS_Butadiene,C=CC=C,4,0,0,0,0,1.51156021159296,0.726363790609693,0.994833705836829,34.8846943076578,4.70829522668718,159.924497164588,0.0616218568648882,-0.0990867373646055,48.044,0,0
PET,OCCOC(=O)C1=CC=CC=C1C(=O)O,15,5,0.2,0,1,2.79710747760097,0.301993174404689,0.93844581651931,100.139274029002,3.56325066493714,718.773443401212,0.338590181052338,-0.477620338124313,200.105,2,5
PETG_Modified,OCCOCC(=O)C1=CC=CC=C1C(=O)O,16,5,0.272727272727273,0,1,3.35809784430963,0.482398660327192,0.975823933859767,109.314157143735,3.63518851266362,807.886428250726,0.335927108427775,-0.477621993101031,212.116,2,5
Nylon_6,NCCCCCC(=O)O,9,3,0.833333333333333,0,0,2.70383912570636,0.574638466124731,0.985293058163509,73.3270081738506,6.16543772820109,432.246251860849,0.302839563354439,-0.481230389767125,118.071,3,3
Nylon_66,NCCCCC(=O)NCCCCCC(=O)O,16,5,0.818181818181818,0,0,4.18350755298151,0.68802137086782,0.993001603625248,127.565894163234,6.84318614469385,914.219500190145,0.302839565984305,-0.481230389760159,208.132,4,5
TPU,O=C(NCCCCN)OCCCCO,14,5,0.888888888888889,0,0,4.01138578979603,0.765535381075066,0.99634027414791,112.978092063568,6.25075743882151,751.571304677593,0.406624333489881,-0.449562994906352,184.11,4,5
PEEK,O=C1C=CC(=O)C=C1OC2=CC=CC=C2O,16,4,0,1,1,3.03618144932327,0.393991886291014,0.962337974854184,102.793276029239,2.64726351810223,842.194994849751,0.293294108758339,-0.504238904162187,208.128,1,4
PEI,O=C1NC(=O)C2=CC=CC=C2O1,12,4,0,0,2,2.30338708832443,0.33276743440722,0.942608433524054,73.5434857893527,3.2441448236574,747.624890732482,0.419114537135566,-0.409181567381922,158.092,1,4
PMMA,CC(C)(C(=O)O)C,7,2,0.8,0,0,1.77145602760503,0.0909772276641346,0.813167089985807,57.2911505974612,6.23843302646895,259.249693091643,0.308279507406691,-0.480844508313428,92.053,1,2
Polycarbonate,O=C(Oc1ccccc1)Oc2ccccc2,16,3,0,0,2,3.5294968577548,0.753383885247689,0.99591472578542,107.291757000693,2.40806237098183,795.851707204735,0.518924330998821,-0.394718844622887,204.14,0,3
Polystyrene,C=CC1=CC=CC=C1,8,0,0,0,1,2.02229813933812,0.466022093751802,0.972797263286926,60.7114483174485,3.72040897332558,442.412033906076,0.0629015791310043,-0.0984700500401651,96.088,0,0
PVA,CC(O),3,1,1,0,0,1.18521857034751,0.429712217799815,0.968283953359466,28.4149201535563,4.14472636674476,93.7212076759953,0.210022306567863,-0.39666371478126,40.021,1,1
Polypropylene,CC(C),3,0,1,0,0,1.27627297682049,0.407496703104758,0.964561279693376,32.7088992579653,4.74840857792517,120.396610346116,0.026088795673383,-0.0656454412102396,36.033,0,0
Polyethylene,CC,2,0,1,0,0,0.969521755688824,0.422160876870025,0.96442026421949,23.534016143233,4.0203915431768,61.5097750043269,0.0227541278068639,-0.0682623834205916,24.022,0,0
Polybutylene,CCCC,4,0,1,0,0,1.5211477963024,0.344391987569722,0.951933998026198,41.8837823726975,5.30008207760757,181.142337985895,0.0263606585654242,-0.0653924428808517,48.044,0,0
PVC,C=CCCl,4,1,0.333333333333333,0,0,1.50302672826855,0.502204920885893,0.978223288636545,38.1076509521593,4.39951587046562,129.628758634565,0.0582169085428948,-0.122219647665585,71.486,0,0
