POLYMER_NAME,SMILES,NumValenceElectrons,NumRadicalElectrons,NumSaturatedRings,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumHeterocycles,RingCount,MaxAbsPartialCharge,MinAbsPartialCharge,ExactMolWt
PLA,CC(O)C(=O)O,36,0,0,0,0,0,0,0.479335598996327,0.331723079571424,90.031694052
ABS_Acrylonitrile,C=CC#N,20,0,0,0,0,0,0,0.193121260786728,0.0905313753738047,53.026549096
ABS_Styrene,C=CC1=CC=CC=C1,40,0,0,0,0,0,1,0.0984700500401651,0.0262557893778425,104.062600256
ABS_Butadiene,C=CC=C,22,0,0,0,0,0,0,0.0990867373646055,0.0700823082661022,54.046950192
PET,OCCOC(=O)C1=CC=CC=C1C(=O)O,80,0,0,0,0,0,1,0.477620338124313,0.338590181052338,210.05282342
PETG_Modified,OCCOCC(=O)C1=CC=CC=C1C(=O)O,86,0,0,0,0,0,1,0.477621993101031,0.335927108427775,224.068473484
Nylon_6,NCCCCCC(=O)O,54,0,0,0,0,0,0,0.481230389767125,0.302839563354439,131.094628656
Nylon_66,NCCCCC(=O)NCCCCCC(=O)O,94,0,0,0,0,0,0,0.481230389760159,0.302839565984305,230.163042564
TPU,O=C(NCCCCN)OCCCCO,84,0,0,0,0,0,0,0.449562994906352,0.406624333489881,204.1473925
PEEK,O=C1C=CC(=O)C=C1OC2=CC=CC=C2O,80,0,0,0,0,0,2,0.504238904162187,0.220806994594714,216.042258736
PEI,O=C1NC(=O)C2=CC=CC=C2O1,60,0,0,0,0,1,2,0.419114537135566,0.409181567381922,163.02694302
PMMA,CC(C)(C(=O)O)C,42,0,0,0,0,0,0,0.480844508313428,0.308279507406691,102.06807956
Polycarbonate,O=C(Oc1ccccc1)Oc2ccccc2,80,0,0,0,0,0,2,0.518924330998821,0.394718844622887,214.06299418
Polystyrene,C=CC1=CC=CC=C1,40,0,0,0,0,0,1,0.0984700500401651,0.0262557893778425,104.062600256
PVA,CC(O),20,0,0,0,0,0,0,0.39666371478126,0.0402205817490864,46.041864812
Polypropylene,CC(C),20,0,0,0,0,0,0,0.0656454412102396,0.0590383639290487,44.062600256
Polyethylene,CC,14,0,0,0,0,0,0,0.0682623834205916,0.0682623834205916,30.046950192
Polybutylene,CCCC,26,0,0,0,0,0,0,0.0653924428808517,0.0564343704175863,58.07825032
PVC,C=CCCl,24,0,0,0,0,0,0,0.122219647665585,0.0401064912180815,76.00797784
PVDF,C(F)(F)C(F)(F),38,0,0,0,0,0,0,0.297765030467256,0.203943204070414,102.009262944
PTFE,C(F)(F),20,0,0,0,0,0,0,0.228519759343213,0.214185891788971,52.012456504
EVA,CCOCC,32,0,0,0,0,0,0,0.382025835782642,0.0437084125246928,74.07316494
PBT,OCCOC(=O)C1=CC=CC=C1C(=O)OCC,92,0,0,0,0,0,1,0.462372421938219,0.338590270309953,238.084123548
POM,CO,14,0,0,0,0,0,0,0.399630243557307,0.0319406837177281,32.026214748
PPS,C1=CC=C(S)C=C1,36,0,0,0,0,0,1,0.14342689229771,0.00399200506530178,110.019021192
PSU,O=S(=O)(c1ccccc1)c2ccccc2,76,0,0,0,0,0,2,0.218514325518306,0.206086626350025,218.04015056
PES,O=S(=O)(c1ccc(cc1))c2ccc(cc2),76,0,0,0,0,0,2,0.218514325518306,0.206086626350025,218.04015056
PA11,NCCCCCCCCCCC(=O)O,84,0,0,0,0,0,0,0.481230389785217,0.302839556532184,201.172878976
PA12,NCCCCCCCCCCCC(=O)O,90,0,0,0,0,0,0,0.481230389785217,0.302839556532184,215.18852904
HDPE,CC,14,0,0,0,0,0,0,0.0682623834205916,0.0682623834205916,30.046950192
LDPE,CCC,20,0,0,0,0,0,0,0.0656454412102396,0.0590383639290487,44.062600256
LLDPE,CCCC,26,0,0,0,0,0,0,0.0653924428808517,0.0564343704175863,58.07825032
UHMWPE,CCCCC,32,0,0,0,0,0,0,0.0653825553793841,0.0538313154318368,72.093900384
SAN,C=CC#N,20,0,0,0,0,0,0,0.193121260786728,0.0905313753738047,53.026549096
ASA,C=CC#N,20,0,0,0,0,0,0,0.193121260786728,0.0905313753738047,53.026549096
COC,C1OC1,18,0,1,0,1,1,1,0.376667636073453,0.0701143954655702,44.026214748
COP,C1COC1,24,0,1,0,1,1,1,0.381271922114172,0.048750503369775,58.041864812
PC-ABS,C=CC1=CC=CC=C1,40,0,0,0,0,0,1,0.0984700500401651,0.0262557893778425,104.062600256
TPE,CCOCCO,38,0,0,0,0,0,0,0.393980344880252,0.0697051984967968,90.06807956
TPO,CCCCO,32,0,0,0,0,0,0,0.396376752069211,0.043042283485207,74.07316494
