Polymer_Name,SMILES
PLA,CC(O)C(=O)O
ABS_Acrylonitrile,C=CC#N
ABS_Styrene,C=CC1=CC=CC=C1
ABS_Butadiene,C=CC=C
PET,OCCOC(=O)C1=CC=CC=C1C(=O)O
PETG_Modified,OCCOCC(=O)C1=CC=CC=C1C(=O)O
Nylon_6,NCCCCCC(=O)O
Nylon_66,NCCCCC(=O)NCCCCCC(=O)O
TPU,O=C(NCCCCN)OCCCCO
PEEK,O=C1C=CC(=O)C=C1OC2=CC=CC=C2O
PEI,O=C1NC(=O)C2=CC=CC=C2O1
PMMA,CC(C)(C(=O)O)C
Polycarbonate,O=C(Oc1ccccc1)Oc2ccccc2
Polystyrene,C=CC1=CC=CC=C1
PVA,CC(O)
Polypropylene,CC(C)
Polyethylene,CC
Polybutylene,CCCC
PVC,C=CCCl
PVDF,C(F)(F)C(F)(F)
PTFE,C(F)(F)
EVA,CCOCC
PBT,OCCOC(=O)C1=CC=CC=C1C(=O)OCC
POM,CO
PPS,C1=CC=C(S)C=C1
PSU,O=S(=O)(c1ccccc1)c2ccccc2
PES,O=S(=O)(c1ccc(cc1))c2ccc(cc2)
PA11,NCCCCCCCCCCC(=O)O
PA12,NCCCCCCCCCCCC(=O)O
HDPE,CC
LDPE,CCC
LLDPE,CCCC
UHMWPE,CCCCC
SAN,C=CC#N
ASA,C=CC#N
COC,C1OC1
COP,C1COC1
PC-ABS,C=CC1=CC=CC=C1
TPE,CCOCCO
TPO,CCCCO
PCL,OCCCCCC(=O)O
PBS,OCCCC(=O)OCCCC(=O)O
PBAT,OCCCC(=O)OCC1=CC=CC=C1C(=O)O
PLA_Blends,CC(O)C(=O)OCC
PEKK,O=C1C=CC(=O)C=C1OC2=CC=CC=C2
PSF,O=S(=O)(c1ccccc1)c2ccccc2
PBI,C1=NC2=CC=CC=C2N1
PBO,C1=NC2=CC=CC=C2O1
PI,O=C1NC(=O)C2=CC=CC=C2O1
PAA,CC(=O)O
PAN,C=CC#N
PVAc,CC(=O)OCC
PHEMA,CC(O)CO
PEG,OCCO
PEO,OCCOCC
PVP,C1=CC=CN=C1
PVK,C1=CC=CC=N1
PANI,C1=CC=CC=N1C
PEDOT,C1=CSC=C1O
PMI,C1=NC(=O)C=CN1
PBTL,OCCCCCC(=O)O
PHB,CC(O)C(=O)OCC
PHBV,CC(O)C(=O)OCCC
PLA_Copolymer,CC(O)C(=O)OCCC
PET_Copolymer,OCCOC(=O)C1=CC=CC=C1
Nylon_Copolymer,NCCCC(=O)NCCCC
TPU_Elastic,O=C(NCCCCN)OCCO
Silicone_PDMS,[Si](C)(C)O
Epoxy,C1OC1C2=CC=CC=C2
Phenolic,C1=CC=C(O)C=C1
Melamine_Formaldehyde,C1=NC(N)=NC(N)=N1
Urea_Formaldehyde,NC(=O)N
Polyimide_Modified,O=C1NC(=O)C2=CC=CC=C2
Polyamide_12,NCCCCCCCCCCCC(=O)O
Polyamide_11,NCCCCCCCCCCC(=O)O
Polyamide_6_10,NCCCCCC(=O)NCCCCCCCCCC(=O)O
Polyamide_4_6,NCCCC(=O)NCCCCCC(=O)O
Polycarbonate_Mod,O=C(Oc1ccccc1)OCC
PET_Recycled,OCCOC(=O)C1=CC=CC=C1C(=O)O
PLA_Reinforced,CC(O)C(=O)OCCO
ABS_Modified,C=CC1=CC=CC=C1C
HIPS_Modified,C=CC1=CC=CC=C1C
ASA_Modified,C=CC#NC
SAN_Modified,C=CC#NC
PEEK_Modified,O=C1C=CC(=O)C=C1OC2=CC=CC=C2OCC
PEI_Modified,O=C1NC(=O)C2=CC=CC=C2O1CC
PPS_Modified,C1=CC=C(SC)C=C1
PSU_Modified,O=S(=O)(c1ccccc1)c2ccccc2C
PES_Modified,O=S(=O)(c1ccc(cc1))c2ccc(cc2)C
TPE_Modified,CCOCCOC
TPO_Modified,CCCCOC
EVA_Modified,CCOCCOC
PCL_Modified,OCCCCCC(=O)OCC
PBS_Modified,OCCCC(=O)OCCCC(=O)OCC
PBAT_Modified,OCCCC(=O)OCC1=CC=CC=C1C(=O)OCC
PHB_Modified,CC(O)C(=O)OCCC
PHBV_Modified,CC(O)C(=O)OCCCC
