SAMPLE,SMILES,ElasticModulus,Volume_Surface_Ratio,Shape_Normalized,Flexibility_Index,Mass_Density,Polarity_Index,Hydrophobicity_Balance,Refractivity_Efficiency,Connectivity_Density,Topological_Size_Ratio,Surface_Stiffness_Ratio
Polymer_1,CCOO,15.517,2.03768877216021,4,0.25,4.06875213047696,7.365,0.123975,0.226022705651043,0.75,0,14.73
Polymer_2,CCON,15.271,1.68507586206897,4,0.25,3.63305458741242,8.8125,-0.02585,0.254709748083242,0.75,0,17.625
Polymer_3,CCOF,16.01475,6.26187683284458,4,0.25,4.66426387068589,2.3075,0.4537,0.195730029665381,0.75,0,4.615
Polymer_4,CCOCl,20.1285,7.87038123167156,4,0.25,4.35705395313599,2.3075,0.58835,0.214429423166573,0.75,0,4.615
Polymer_5,CCOC,15.024,5.87448680351906,4,0.25,3.23967654986523,2.3075,0.32635,0.287252847976954,0.75,0,4.615
Polymer_6,CCOCO,15.219,2.49819435325016,5,0.4,3.86037804766688,5.892,-0.00682499999999998,0.242710941046761,0.8,0,9.82
Polymer_7,CCOCN,15.0222,2.0720275862069,5,0.4,3.46446560026568,7.05,-0.015225,0.271713681333841,0.8,0,11.75
Polymer_8,CCOCF,15.6172,7.63304007820137,5,0.4,4.19794634697059,1.846,0.47495,0.22255519308095,0.8,0,3.07666666666667
Polymer_9,CCOOC,15.219,3.91032887975334,5,0.4,3.87547746371276,3.692,0.194766666666667,0.241714767494649,0.8,0,6.15333333333333
Polymer_10,CCONC,15.0222,3.37425876010782,5,0.4,3.46361888248938,4.252,0.039325,0.271783316471995,0.8,0,7.08666666666667
Polymer_11,CC(C)OO,15.219,2.49819435325016,5,0.2,3.83353988453284,5.892,0.2211,0.24450094039821,0.8,0,14.73
Polymer_12,CC(C)ON,15.0222,2.0720275862069,5,0.2,3.50848265166944,7.05,0.071275,0.268139953488983,0.8,0,17.625
Polymer_13,CC(C)OF,15.6172,7.63304007820137,5,0.2,4.26024333024169,1.846,0.64795,0.219115899147763,0.8,0,4.615
Polymer_14,CC(C)OCl,18.9082,9.24154447702835,5,0.2,4.09729565744995,1.846,0.7826,0.231042170377116,0.8,0,4.615
Polymer_15,CC(C)OC,14.8246,7.24565004887586,5,0.2,3.20254914668395,1.846,0.5206,0.294783222182288,0.8,0,4.615
Polymer_16,CC(C)OCO,15.0203333333333,2.95869993434012,6,0.333333333333333,3.70768673786759,4.91,0.0903,0.255775773139308,0.833333333333333,0,9.82
Polymer_17,CC(C)OCN,14.8563333333333,2.45897931034483,6,0.333333333333333,3.3924507333856,5.875,0.0819000000000001,0.280407819121791,0.833333333333333,0,11.75
Polymer_18,CC(C)OCF,15.3521666666667,9.00420332355816,6,0.333333333333333,3.97107259872392,1.53833333333333,0.6692,0.238377025764394,0.833333333333333,0,3.07666666666667
Polymer_19,CC(C)OOC,15.0203333333333,4.6311408016444,6,0.333333333333333,3.71943871234008,3.07666666666667,0.324266666666667,0.254932947038037,0.833333333333333,0,6.15333333333333
Polymer_20,CC(C)ONC,14.8563333333333,4.00440251572327,6,0.333333333333333,3.39176658155985,3.54333333333333,0.13645,0.280466617852626,0.833333333333333,0,7.08666666666667
Polymer_21,CC(C#N)O,14.2158,1.5788316303865,5,0,3.88541473067378,8.804,-0.027305,0.239928411881408,0.8,0,44.02
Polymer_22,CC(C#N)N,14.019,1.37955126943515,5,0,3.45936315540114,9.962,-0.035705,0.27093888459104,0.8,0,49.81
Polymer_23,CC(C#N)F,14.614,2.94755949979831,5,0,4.25245882558343,4.758,0.43399,0.21848251653841,0.8,0,23.79
Polymer_24,CC(C#N)Cl,17.905,3.61133521581283,5,0,4.08267967894929,4.758,0.56864,0.231184755592378,0.8,0,23.79
Polymer_25,CC(C#N)C,13.8214,2.78769665187576,5,0,3.22162136963312,4.758,0.58299,0.291711241388164,0.8,0,23.79
Polymer_26,CC(C#N)CO,14.1843333333333,1.89040426477121,6,0.166666666666667,3.72246618961807,7.33666666666667,0.034595,0.253905651174134,0.833333333333333,0,22.01
Polymer_27,CC(C#N)CN,14.0203333333333,1.65561897264318,6,0.166666666666667,3.38772682973977,8.30166666666667,0.0261950000000001,0.279967575949813,0.833333333333333,0,24.905
Polymer_28,CC(C#N)CF,14.5161666666667,3.51339249697459,6,0.166666666666667,4.00409157778595,3.965,0.55779,0.235558532072602,0.833333333333333,0,11.895
Polymer_29,CC(C#N)OC,14.1843333333333,2.50164609053498,6,0.166666666666667,3.68679604921158,5.50333333333333,0.181626666666667,0.256474577845911,0.833333333333333,0,16.51
Polymer_30,CC(C#N)NC,14.0203333333333,2.28468223791418,6,0.166666666666667,3.34684718735453,5.97,0.02947,0.283530697117079,0.833333333333333,0,17.91
Polymer_31,CC(C)(C)C(=O)OO,14.7665,2.48541973490427,8,0,4.04897209331021,5.81625,0.20974,0.236509082362421,0.875,0,46.53
Polymer_32,CC(C)(C)C(=O)ON,14.6435,2.19707426856714,8,0,3.81162475922745,6.54,0.08988,0.251670785794089,0.875,0,52.32
Polymer_33,CC(C)(C)C(=O)OF,15.015375,4.40010989010989,8,0,4.34362683059122,3.2875,0.486733333333333,0.220065553197989,0.875,0,26.3
Polymer_34,CC(C)(C)C(=O)OCl,17.07225,5.00285714285714,8,0,4.21537037037037,3.2875,0.5765,0.228234165346204,0.875,0,26.3
Polymer_35,CC(C)(C)C(=O)OC,14.52,4.25494505494505,8,0,3.57734593945367,3.2875,0.401833333333333,0.268615568453397,0.875,0,26.3
Polymer_36,CC(C)(C)C(=O)OCO,14.6843333333333,2.78053860719546,9,0.111111111111111,3.92946766251992,5.17,0.1051,0.245066424349837,0.888888888888889,0,23.265
Polymer_37,CC(C)(C)C(=O)OCN,14.575,2.46014628657164,9,0.111111111111111,3.68454611335509,5.81333333333333,0.09838,0.26178475505958,0.888888888888889,0,26.16
Polymer_38,CC(C)(C)C(=O)OCF,14.9055555555556,4.91391941391941,9,0.111111111111111,4.12490006764652,2.92222222222222,0.5009,0.233237143914169,0.888888888888889,0,13.15
