SMILES,ElasticModulus,Volume_Surface_Ratio,Shape_Normalized,Flexibility_Index,Mass_Density,Polarity_Index,Hydrophobicity_Balance,Refractivity_Efficiency,Connectivity_Density,Topological_Size_Ratio,Surface_Stiffness_Ratio
CCO,15.3563333333333,2.16999528968441,3,0,3.34808645474498,6.74333333333333,-0.000466666666666671,0.271087127408698,0.666666666666667,0,20.23
CCN,15.0283333333333,1.66857883049593,3,0,2.86647084255233,8.67333333333333,-0.0116666666666666,0.319592058153412,0.666666666666667,0,26.02
CCC,14.699,44.097,3,0,2.59929266136163,0,1.4163,0.354014679468701,0.666666666666667,0,0
CCCC,14.531,58.124,4,0.25,2.69317023445464,0,1.8064,0.348115824369123,0.75,0,0
CCCO,15.024,2.83071125765426,4,0.25,3.27021026511689,5.0575,0.129566666666667,0.284417965169569,0.75,0,10.115
CCCN,14.778,2.18771280532939,4,0.25,2.90542333893656,6.505,0.118366666666667,0.321822597817408,0.75,0,13.01
CCCl,21.505,64.515,3,0,3.70903759917213,0,1.2451,0.250232771121117,0.666666666666667,0,0
CCBr,36.322,108.966,3,0,5.32372483877272,0,1.4012,0.177036538566466,0.666666666666667,0,0
CCI,51.9886666666667,155.966,3,0,6.10171746019327,0,1.4413,0.156473376399985,0.666666666666667,0,0
CCF,16.02,48.06,3,0,3.79950984267531,0,0.9758,0.237443946188341,0.666666666666667,0,0
C1CCCCC1,14.027,84.162,3,0,2.93226952825587,0,2.3406,0.325285925647589,1,0.166666666666667,0
C1=CC=CC=C1,13.019,78.114,3,0,2.84651264485096,0,1.6866,0.334226559142503,1,0.166666666666667,0
C1=CC=CN=C1,13.1836666666667,5.69488840892729,3,0,3.13436620834489,2.14833333333333,0.5408,0.302576714688772,1,0.166666666666667,12.89
C1=CC=CC=N1,13.1836666666667,5.69488840892729,3,0,3.13436620834489,2.14833333333333,0.5408,0.302576714688772,1,0.166666666666667,12.89
C1=CC=CO1,13.615,4.81435643564356,2.5,0,3.45418104323118,2.628,0.6398,0.270836047774159,1,0.2,13.14
CC(C)O,15.024,2.83071125765426,4,0,3.27412992786628,5.0575,0.129033333333333,0.28405787612937,0.75,0,20.23
CC(C)N,14.778,2.18771280532939,4,0,2.90856844819272,6.505,0.117833333333333,0.321456614319936,0.75,0,26.02
CC(C)C,14.531,58.124,4,0,2.70193380438825,0,1.6623,0.346931871997835,0.75,0,0
CC(C)CC,14.4302,72.151,5,0.2,2.76133797696047,0,2.0524,0.343522303181091,0.8,0,0
CC(C)(C)O,14.8246,3.49142722562412,5,0,3.22669533950322,4.046,0.259066666666667,0.292477669954608,0.8,0,20.23
CCC(=O)O,14.8158,1.93417754569191,5,0.2,3.91397383604201,7.46,0.160333333333333,0.238772492974067,0.8,0,18.65
CC(=O)O,15.013,1.56793733681462,4,0,4.19656459209772,9.325,0.0303,0.218007600078622,0.75,0,37.3
CC(=O)N,14.767,1.33971422091177,4,0,3.72236646416778,10.7725,-0.169466666666667,0.247526137044683,0.75,0,43.09
CC(=O)OC,14.8158,2.71351648351648,5,0,3.96356340288925,5.26,0.0597666666666667,0.235618481865768,0.8,0,26.3
CC(=O)Cl,19.6245,4.34410625345877,4,0,4.47690201893464,4.2675,0.38585,0.20798007497044,0.75,0,17.07
COC,15.3563333333333,4.50332355816227,3,0,3.30646666188186,3.07666666666667,0.1313,0.274766831672651,0.666666666666667,0,9.23
COCC,15.024,5.87448680351906,4,0.25,3.23967654986523,2.3075,0.32635,0.287252847976954,0.75,0,4.615
COCCC,14.8246,7.24565004887586,5,0.4,3.19950792074934,1.846,0.5214,0.295076075236612,0.8,0,3.07666666666667
COCCCC,14.6916666666667,8.61681329423265,6,0.5,3.17268931759286,1.53833333333333,0.71645,0.300437464946719,0.833333333333333,0,2.3075
COCCO,15.219,2.49819435325016,5,0.4,3.81203097917022,5.892,-0.093725,0.245953693495039,0.8,0,9.82
CNC,15.0283333333333,3.460092095165,3,0,2.82068607393782,4.01,-0.0548,0.325131821633937,0.666666666666667,0,12.03
CNCC,14.778,4.53660782808903,4,0.25,2.86941705864364,3.0075,0.0752333333333333,0.326069669949428,0.75,0,6.015
CNCCC,14.6278,5.61312356101305,5,0.4,2.90030415144918,2.406,0.205266666666667,0.32665263896195,0.8,0,4.01
CNCCCC,14.5276666666667,6.68963929393707,6,0.5,2.9216315230252,2.005,0.3353,0.327050110019735,0.833333333333333,0,3.0075
CNC=O,14.767,1.96239202657807,4,0.25,3.66342712900885,7.275,-0.2126,0.251776320170474,0.75,0,14.55
CCOC,15.024,5.87448680351906,4,0.25,3.23967654986523,2.3075,0.32635,0.287252847976954,0.75,0,4.615
CCOCC,14.8246,7.24565004887586,5,0.4,3.19950792074934,1.846,0.5214,0.295076075236612,0.8,0,3.07666666666667
CCOCCC,14.6916666666667,8.61681329423265,6,0.5,3.17268931759286,1.53833333333333,0.71645,0.300437464946719,0.833333333333333,0,2.3075
CCOCCCC,14.5967142857143,9.98797653958944,7,0.571428571428571,3.15351378043888,1.31857142857143,0.9115,0.304341083768669,0.857142857142857,0,1.846
CCOC=O,14.8158,2.71351648351648,5,0.4,3.96356340288925,5.26,0.0597666666666667,0.235618481865768,0.8,0,8.76666666666667
CCS,20.7123333333333,62.137,3,0,3.02708627661129,0,0.312033333333333,0.309279820073808,0.666666666666667,0,0
CCSC,19.041,76.164,4,0.25,3.03975095785441,0,0.68465,0.311751594007568,0.75,0,0
CCSCC,18.0382,90.191,5,0.4,3.039497185994,0,0.8797,0.314427958899453,0.8,0,0
CCSCCC,17.3696666666667,104.218,6,0.5,3.03931175269758,0,1.07475,0.316390731623867,0.833333333333333,0,0
CCSCCCC,16.8921428571429,118.245,7,0.571428571428571,3.03917032924667,0,1.2698,0.317891735502537,0.857142857142857,0,0
C=C,14.027,28.054,2,0,2.28937489799249,0,0.8022,0.387347697391065,0.5,0,0
C#C,13.019,26.038,2,0,2.39100091827365,0,0.2494,0.365781492713958,0.5,0,0
CC=C,14.027,42.081,3,0,2.49428012565942,0,1.1923,0.36839906223161,0.666666666666667,0,0
CCC=C,14.027,56.108,4,0.25,2.61113179448995,0,1.5824,0.358758842894165,0.75,0,0
CCCC=C,14.027,70.135,5,0.4,2.68665006703697,0,1.9725,0.352920503268433,0.8,0,0
CC#C,13.355,40.065,3,0,2.58367189011414,0,0.6395,0.353269207354195,0.666666666666667,0,0
CCC#C,13.523,54.092,4,0,2.68793480421387,0,1.0296,0.347128439700864,0.75,0,0
CCCC#C,13.6238,68.119,5,0.2,2.75328402247282,0,1.4197,0.343480085070675,0.8,0,0
CC(C)=C,14.027,56.108,4,0,2.61113179448995,0,1.5824,0.358758842894165,0.75,0,0
CCOCC,14.8246,7.24565004887586,5,0.4,3.19950792074934,1.846,0.5214,0.295076075236612,0.8,0,3.07666666666667
CCNCC,14.6278,5.61312356101305,5,0.4,2.90030415144918,2.406,0.205266666666667,0.32665263896195,0.8,0,4.01
CCOCCC,14.6916666666667,8.61681329423265,6,0.5,3.17268931759286,1.53833333333333,0.71645,0.300437464946719,0.833333333333333,0,2.3075
CCNCCC,14.5276666666667,6.68963929393707,6,0.5,2.9216315230252,2.005,0.3353,0.327050110019735,0.833333333333333,0,3.0075
CCOCCO,15.0203333333333,2.95869993434012,6,0.5,3.66665581720833,4.91,0.00380000000000001,0.258760782247975,0.833333333333333,0,7.365
C1=CC=CC=C1O,13.4447142857143,4.43301931229392,3.5,0,3.23336814764935,2.89,0.464066666666667,0.295509551796284,1,0.142857142857143,20.23
C1=CC=CC=C1N,13.3041428571429,3.44666913397483,3.5,0,2.92358355517605,3.71714285714286,0.422933333333333,0.32778846051695,1,0.142857142857143,26.02
C1=CC=CC=C1Cl,16.0798571428571,112.559,3.5,0,3.46847651916677,0,2.34,0.276966158560748,1,0.142857142857143,0
C1=CC=CC=C1Br,22.43,157.01,3.5,0,4.46787320015935,0,2.4491,0.216074931966331,1,0.142857142857143,0
C1=CC=CC=C1F,13.7291428571429,96.104,3.5,0,3.50744525547445,0,1.8257,0.271873455264459,1,0.142857142857143,0
CC(C)CO,14.8246,3.49142722562412,5,0.2,3.23345169649011,4.046,0.211566666666667,0.291838717836082,0.8,0,10.115
CC(C)CN,14.6278,2.70684678016284,5,0.2,2.93820603879096,5.204,0.200366666666667,0.322264934784661,0.8,0,13.01
CC(C)CCl,18.5138,92.569,5,0.2,3.4855410799006,0,1.8812,0.27314602058374,0.8,0,0
CC(C)CBr,27.404,137.02,5,0.2,4.62405507559395,0,2.0373,0.207448195913636,0.8,0,0
CC(C)CF,15.2228,76.114,5,0.2,3.48938706276074,0,1.6119,0.269899110407967,0.8,0,0
COCO,15.517,2.03768877216021,4,0.25,4.11187958767258,7.365,-0.10435,0.223485761400393,0.75,0,14.73
COCOC,15.219,3.91032887975334,5,0.4,3.82675383454866,3.692,0.0789,0.244957519942928,0.8,0,6.15333333333333
COCOCC,15.0203333333333,4.6311408016444,6,0.5,3.67814872255326,3.07666666666667,0.208933333333333,0.257917956146704,0.833333333333333,0,4.615
COCOCCC,14.8784285714286,5.35195272353546,7,0.571428571428571,3.57666815481301,2.63714285714286,0.338966666666667,0.267420517551284,0.857142857142857,0,3.692
COCOCCCC,14.772,6.07276464542652,8,0.625,3.50296419255395,2.3075,0.469,0.274686178425186,0.875,0,3.07666666666667
CNCO,15.271,1.8365604329525,4,0.25,3.56268408620338,8.065,-0.16888,0.260058952387089,0.75,0,16.13
CNCOC,15.0222,3.37425876010782,5,0.4,3.42414420328506,4.252,-0.047575,0.275067992799989,0.8,0,7.08666666666667
CNCOCC,14.8563333333333,4.00440251572327,6,0.5,3.35702207308485,3.54333333333333,0.0499499999999999,0.283484213095476,0.833333333333333,0,5.315
CNCOCCC,14.7378571428571,4.63454627133873,7,0.571428571428571,3.30978482308139,3.03714285714286,0.147475,0.289633754140066,0.857142857142857,0,4.252
CNCOCCCC,14.649,5.26469002695418,8,0.625,3.27473614499241,2.6575,0.245,0.294323642886151,0.875,0,3.54333333333333
CCOCN,15.0222,2.0720275862069,5,0.4,3.46446560026568,7.05,-0.015225,0.271713681333841,0.8,0,11.75
CCOCCl,18.9082,9.24154447702835,5,0.4,4.04955881093121,1.846,0.6096,0.233889115667619,0.8,0,3.07666666666667
CCOCBr,27.7984,13.5867057673509,5,0.4,5.26086298258895,1.846,0.68765,0.181581804674553,0.8,0,3.07666666666667
CCOCF,15.6172,7.63304007820137,5,0.4,4.19794634697059,1.846,0.47495,0.22255519308095,0.8,0,3.07666666666667
CCOCS,18.4326,9.00909090909091,5,0.4,3.48060727368858,1.846,0.22755,0.273488402048023,0.8,0,3.07666666666667
CCSCO,18.4326,4.3411681582666,5,0.4,3.51528350967663,4.046,0.172325,0.270684713888561,0.8,0,6.74333333333333
CCSCOC,17.6983333333333,10.3802541544477,6,0.5,3.42460010319918,1.53833333333333,0.4478,0.279951488011941,0.833333333333333,0,2.3075
CCSCOCC,17.1738571428571,11.7514173998045,7,0.571428571428571,3.37451228070176,1.31857142857143,0.577833333333333,0.2856447527987,0.857142857142857,0,1.846
CCSCOCCC,16.7805,13.1225806451613,8,0.625,3.33591769792754,1.15375,0.707866666666667,0.290157049480938,0.875,0,1.53833333333333
CCSCOCCCC,16.4745555555556,14.4937438905181,9,0.666666666666667,3.30526761630888,1.02555555555556,0.8379,0.293821304875026,0.888888888888889,0,1.31857142857143
C1CCOCC1,14.3556666666667,8.4197458455523,3,0,3.35543435917413,1.53833333333333,0.59345,0.283127137512337,1,0.166666666666667,9.23
C1CCNCC1,14.1916666666667,6.53491941673062,3,0,3.0717117533107,2.005,0.2533,0.310164828786999,1,0.166666666666667,12.03
C1CCCCC1O,14.3087142857143,4.71789919924635,3.5,0,3.32851474488067,2.89,0.437133333333333,0.287579205425016,1,0.142857142857143,20.23
C1CCCCC1N,14.1681428571429,3.67050333086603,3.5,0,3.09344237751245,3.71714285714286,0.425933333333333,0.310055202291943,1,0.142857142857143,26.02
C1CCCCC1Cl,16.9438571428571,118.607,3.5,0,3.51678230445354,0,2.5579,0.273612748417735,1,0.142857142857143,0
C1=CC=CC=C1C,13.163,92.141,3.5,0,2.86338916684795,0,1.99502,0.334750539504622,1,0.142857142857143,0
C1=CC=CC=C1CC,13.271,106.168,4,0.111111111111111,2.88343291689299,0,2.249,0.334241564646163,1,0.125,0
C1=CC=CC=C1CCC,13.355,120.195,4.5,0.2,2.9006684846876,0,2.6391,0.333652378398449,1,0.111111111111111,0
C1=CC=CC=C1OCC,13.5741111111111,11.9420332355816,4.5,0.2,3.16404651524177,1.02555555555556,1.04265,0.305365885342665,1,0.111111111111111,3.07666666666667
C1=CC=CC=C1NCC,13.4647777777778,9.30030698388335,4.5,0.2,2.91265379503289,1.33666666666667,0.706133333333333,0.332335103901525,1,0.111111111111111,4.01
