SAMPLE,SMILES,NumHeavyAtoms,NumHeteroatoms,FractionCSP3,NumAliphaticRings,NumAromaticRings,RadiusOfGyration,Asphericity,Eccentricity,LabuteASA,BalabanJ,BertzCT,MaxPartialCharge,MinPartialCharge,HeavyAtomMolWt,NHOHCount,NOCount
Polymer_1,CCOO,4,2,1,0,0,1.43549859677738,0.664993167473413,0.991743612647796,33.4577606988015,4.10178375254798,106.805668757833,0.254833791281121,-0.251833872813891,56.02,1,2
Polymer_2,CCON,4,2,1,0,0,1.46167872970743,0.656713318520078,0.991231872052268,35.4625743338751,4.22209006897741,128.89248834628,0.150935874119679,-0.304917319066229,54.028,2,2
Polymer_3,CCOF,4,2,1,0,0,1.42984118515267,0.686887658515062,0.992965281294507,31.3086182445674,4.14472636674476,97.6213422058855,0.0847585406074022,-0.194501720139505,59.019,0,1
Polymer_4,CCOCl,4,2,1,0,0,1.5789396653433,0.77670465454477,0.996707042084696,37.7182020135804,4.14472636674476,97.6213422058855,0.0653877476825369,-0.279542797843277,75.474,0,1
Polymer_5,CCOC,4,1,1,0,0,1.49403150830917,0.636307444582973,0.989962273062112,37.8224444874722,4.4439368772856,152.666358008693,0.0563455805699848,-0.384976893168306,52.032,0,1
Polymer_6,CCOCO,5,2,1,0,0,1.78667929004538,0.720340239180078,0.994558881203212,42.7033484977954,4.51659297018578,172.718177624838,0.21305385968528,-0.370646049659171,68.031,1,2
Polymer_7,CCOCN,5,2,1,0,0,1.7996225435447,0.700356469361488,0.993629970866636,44.6834189491294,4.67447784490938,196.723972609376,0.120629044450707,-0.366820288447724,66.039,2,2
Polymer_8,CCOCF,5,2,1,0,0,1.7882655938924,0.738904590037258,0.995343231794437,40.5830093902306,4.4439368772856,157.01487355429,0.18774540407924,-0.350784816029517,71.03,0,1
Polymer_9,CCOOC,5,2,1,0,0,1.68082227326599,0.641099879361255,0.990046500431887,42.8652850327174,4.20615477205435,167.208402620511,0.0793559350283494,-0.240103895768346,68.031,0,2
Polymer_10,CCONC,5,2,1,0,0,1.7362729559705,0.651683323296363,0.990770623704278,44.7893723029644,4.53311823372567,193.214197605049,0.154434559901671,-0.302372850666505,66.039,1,2
Polymer_11,CC(C)OO,5,2,1,0,0,1.54638994087544,0.266510817727688,0.928046452170345,42.6326438135337,4.96382931833331,155.208402620511,0.254847740704097,-0.251559652525384,68.031,1,2
Polymer_12,CC(C)ON,5,2,1,0,0,1.56912920025658,0.266307577704293,0.928073495358252,44.6374574486074,5.07462190761173,179.214197605049,0.150949460575758,-0.301913416763895,66.039,2,2
Polymer_13,CC(C)OF,5,2,1,0,0,1.54081913097852,0.279652540154936,0.932800160938041,40.4835013592996,4.95101056068426,145.01487355429,0.0927185327570237,-0.191456340474583,71.03,0,1
Polymer_14,CC(C)OCl,5,2,1,0,0,1.68473317198947,0.42298559910058,0.967333273236942,46.8930851283127,4.95101056068426,145.01487355429,0.0734238446160391,-0.276490673408422,87.485,0,1
Polymer_15,CC(C)OC,5,1,1,0,0,1.60121445804324,0.25378051207906,0.924080809574403,46.9973276022044,5.25668724884079,205.04756246101,0.0597221844406908,-0.382035216304433,64.043,0,1
Polymer_16,CC(C)OCO,6,2,1,0,0,1.8828078105319,0.451176348960334,0.971628936930619,51.8782316125277,5.30059202621228,226.184034385809,0.213054208369956,-0.370630275300609,80.042,1,2
Polymer_17,CC(C)OCN,6,2,1,0,0,1.89314180198787,0.440564938742571,0.970068128924526,53.8583020638616,5.41366311007868,251.625446122817,0.120629274034599,-0.363880795338189,78.05,2,2
Polymer_18,CC(C)OCF,6,2,1,0,0,1.78279810735203,0.328322168535786,0.948211278882463,49.7578925049628,5.25668724884079,209.737518396902,0.188061030246043,-0.347793029727257,83.041,0,1
Polymer_19,CC(C)OOC,6,2,1,0,0,1.77006227291747,0.395330386831883,0.962585170053886,52.0401681474496,4.99894856506643,220.674259381482,0.0873288913409972,-0.239830236786898,80.042,0,2
Polymer_20,CC(C)ONC,6,2,1,0,0,1.81484042120171,0.401898099876524,0.963764928674401,53.9642554176966,5.27413686662921,248.115671118491,0.154448179127126,-0.299369229661771,78.05,1,2
Polymer_21,CC(C#N)O,5,2,0.666666666666667,0,0,1.56979697534997,0.297225772985169,0.937634409535009,37.7674714492538,4.53952952458351,159.256448474476,0.211951206422556,-0.378440727781194,66.039,1,2
Polymer_22,CC(C#N)N,5,2,0.666666666666667,0,0,1.59800357395265,0.296703723783007,0.937276445085705,39.7475419005878,4.80035572812292,179.246867046574,0.119644529225426,-0.316166648796433,64.047,2,2
Polymer_23,CC(C#N)F,5,2,0.666666666666667,0,0,1.55418667290172,0.304665666389459,0.939981971537844,35.647132341689,4.38704983392004,142.872187554087,0.183016017414988,-0.231346219551092,69.038,0,1
Polymer_24,CC(C#N)Cl,5,2,0.666666666666667,0,0,1.64583554532147,0.287475871123224,0.93270432368644,41.7848631656444,4.38704983392004,142.872187554087,0.117351903654866,-0.196700039060619,85.493,0,1
Polymer_25,CC(C#N)C,5,1,0.75,0,0,1.62430390527616,0.278685097733052,0.931757571316297,42.0614505536628,5.13532270361733,190.916940575885,0.0649457173195011,-0.198057275344811,62.051,0,1
Polymer_26,CC(C#N)CO,6,2,0.75,0,0,1.72843672009754,0.170591942593984,0.882750850856875,46.942354563986,5.22412216095145,229.627491361513,0.210099625853928,-0.395023618741258,78.05,1,2
