SAMPLE,SMILES,NumValenceElectrons,NumRadicalElectrons,NumSaturatedRings,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumHeterocycles,RingCount,MaxAbsPartialCharge,MinAbsPartialCharge,ExactMolWt
Polymer_1,CCOO,26,0,0,0,0,0,0,0.251833872813891,0.0791104170244044,62.036779432
Polymer_2,CCON,26,0,0,0,0,0,0,0.304917319066229,0.0650531412044698,61.052763844
Polymer_3,CCOF,26,0,0,0,0,0,0,0.194501720139505,0.0847585406074022,64.032443
Polymer_4,CCOCl,26,0,0,0,0,0,0,0.279542797843277,0.0653877476825369,80.00289246
Polymer_5,CCOC,26,0,0,0,0,0,0,0.384976893168306,0.0433453891175592,60.057514876
Polymer_6,CCOCO,32,0,0,0,0,0,0,0.370646049659171,0.143026433879687,76.052429496
Polymer_7,CCOCN,32,0,0,0,0,0,0,0.366820288447724,0.0939591813777542,75.068413908
Polymer_8,CCOCF,32,0,0,0,0,0,0,0.350784816029517,0.18774540407924,78.048093064
Polymer_9,CCOOC,32,0,0,0,0,0,0,0.240103895768346,0.0793559350283494,76.052429496
Polymer_10,CCONC,32,0,0,0,0,0,0,0.302372850666505,0.0653327853041234,75.068413908
Polymer_11,CC(C)OO,32,0,0,0,0,0,0,0.251559652525384,0.0870837302072517,76.052429496
Polymer_12,CC(C)ON,32,0,0,0,0,0,0,0.301913416763895,0.0730774680032093,75.068413908
Polymer_13,CC(C)OF,32,0,0,0,0,0,0,0.191456340474583,0.0927185327570237,78.048093064
Polymer_14,CC(C)OCl,32,0,0,0,0,0,0,0.276490673408422,0.0734238446160391,94.018542524
Polymer_15,CC(C)OC,32,0,0,0,0,0,0,0.382035216304433,0.0514596405502386,74.07316494
Polymer_16,CC(C)OCO,38,0,0,0,0,0,0,0.370630275300609,0.143390029919833,90.06807956
Polymer_17,CC(C)OCN,38,0,0,0,0,0,0,0.363880795338189,0.0943261053440115,89.084063972
Polymer_18,CC(C)OCF,38,0,0,0,0,0,0,0.347793029727257,0.188061030246043,92.063743128
Polymer_19,CC(C)OOC,38,0,0,0,0,0,0,0.239830236786898,0.0873288913409972,90.06807956
Polymer_20,CC(C)ONC,38,0,0,0,0,0,0,0.299369229661771,0.0733566758484031,89.084063972
Polymer_21,CC(C#N)O,28,0,0,0,0,0,0,0.378440727781194,0.137246916328216,71.03711378
Polymer_22,CC(C#N)N,28,0,0,0,0,0,0,0.316166648796433,0.0899020184551792,70.053098192
Polymer_23,CC(C#N)F,28,0,0,0,0,0,0,0.231346219551092,0.183016017414988,73.032777348
Polymer_24,CC(C#N)Cl,28,0,0,0,0,0,0,0.196700039060619,0.117351903654866,89.003226808
Polymer_25,CC(C#N)C,28,0,0,0,0,0,0,0.198057275344811,0.0649457173195011,69.057849224
Polymer_26,CC(C#N)CO,34,0,0,0,0,0,0,0.395023618741258,0.0676535348320806,85.052763844
Polymer_27,CC(C#N)CN,34,0,0,0,0,0,0,0.329176873475948,0.0665676964506448,84.068748256
Polymer_28,CC(C#N)CF,34,0,0,0,0,0,0,0.249678477639226,0.104932248230374,87.048427412
Polymer_29,CC(C#N)OC,34,0,0,0,0,0,0,0.366824649136019,0.140329014100566,85.052763844
Polymer_30,CC(C#N)NC,34,0,0,0,0,0,0,0.305234039942917,0.0921514943994712,84.068748256
Polymer_31,CC(C)(C)C(=O)OO,48,0,0,0,0,0,0,0.346802040873496,0.300446979662527,118.06299418
Polymer_32,CC(C)(C)C(=O)ON,48,0,0,0,0,0,0,0.37290983269921,0.329177222182738,117.078978592
Polymer_33,CC(C)(C)C(=O)OF,48,0,0,0,0,0,0,0.353539494465716,0.254329198293319,120.058657748
Polymer_34,CC(C)(C)C(=O)OCl,48,0,0,0,0,0,0,0.347026642795461,0.329477902208303,136.029107208
Polymer_35,CC(C)(C)C(=O)OC,48,0,0,0,0,0,0,0.468610353354586,0.310441159051251,116.083729624
Polymer_36,CC(C)(C)C(=O)OCO,54,0,0,0,0,0,0,0.43827944856404,0.312820935737977,132.078644244
Polymer_37,CC(C)(C)C(=O)OCN,54,0,0,0,0,0,0,0.449568625820475,0.312023981339376,131.094628656
Polymer_38,CC(C)(C)C(=O)OCF,54,0,0,0,0,0,0,0.43331926534735,0.313050612506941,134.074307812
Polymer_39,CC(C)(C)C(=O)OOC,54,0,0,0,0,0,0,0.347069348428836,0.298052213776994,132.078644244
Polymer_40,CC(C)(C)C(=O)ONC,54,0,0,0,0,0,0,0.370388793718543,0.329457086300482,131.094628656
Polymer_41,C=CC(=O)OO,34,0,0,0,0,0,0,0.364563081901341,0.29621714451847,88.016043988
Polymer_42,C=CC(=O)ON,34,0,0,0,0,0,0,0.370089398762364,0.348120683677909,87.0320284
Polymer_43,C=CC(=O)OF,34,0,0,0,0,0,0,0.371309504825359,0.250066674455093,90.011707556
Polymer_44,C=CC(=O)OCl,34,0,0,0,0,0,0,0.347932843438102,0.343719587836157,105.982157016
Polymer_45,C=CC(=O)OC,34,0,0,0,0,0,0,0.46586658161962,0.329362026835124,86.036779432
Polymer_46,C=CC(=O)OCO,40,0,0,0,0,0,0,0.435535683248414,0.331743645799104,102.031694052
Polymer_47,C=CC(=O)OCN,40,0,0,0,0,0,0,0.446824920157139,0.330946096659892,101.047678464
Polymer_48,C=CC(=O)OCF,40,0,0,0,0,0,0,0.430575469875126,0.33197346637962,104.02735762
Polymer_49,C=CC(=O)OOC,40,0,0,0,0,0,0,0.364830601480941,0.293822410398393,102.031694052
Polymer_50,C=CC(=O)ONC,40,0,0,0,0,0,0,0.367484469736513,0.34832079997921,101.047678464
Polymer_51,CCOC(=O)CO,42,0,0,0,0,0,0,0.464282967363092,0.331274868138723,104.047344116
Polymer_52,CCOC(=O)CN,42,0,0,0,0,0,0,0.465037841949045,0.319182260988304,103.063328528
Polymer_53,CCOC(=O)CF,42,0,0,0,0,0,0,0.464051468782216,0.337028601289608,106.043007684
Polymer_54,CCOC(=O)CCl,42,0,0,0,0,0,0,0.46509472173016,0.320362805271167,122.013457144
Polymer_55,CCOC(=O)CC,42,0,0,0,0,0,0,0.465976730697997,0.304986319783951,102.06807956
Polymer_56,CCOC(=O)CCO,48,0,0,0,0,0,0,0.465906351872487,0.307602806383103,118.06299418
Polymer_57,CCOC(=O)CCN,48,0,0,0,0,0,0,0.465934093701245,0.306553022098506,117.078978592
Polymer_58,CCOC(=O)CCF,48,0,0,0,0,0,0,0.46589969060279,0.307926754400421,120.058657748
Polymer_59,CCOC(=O)COC,48,0,0,0,0,0,0,0.464276065873277,0.331550967604363,118.06299418
Polymer_60,CCOC(=O)CNC,48,0,0,0,0,0,0,0.465032316745288,0.319395378985061,117.078978592
Polymer_61,C(F)(F)C(F)(F)O,44,0,0,0,0,0,0,0.413559243828015,0.331791617801918,118.004177564
Polymer_62,C(F)(F)C(F)(F)N,44,0,0,0,0,0,0,0.3596409604628,0.267029875682502,117.020161976
Polymer_63,C(F)(F)C(F)(F)F,44,0,0,0,0,0,0,0.449702715639135,0.200053860121802,119.999841132
