POLYMER_NAME,SMILES,MolWt,LogP,TPSA,HDonors,HAcceptors,RotatableBonds,ValenceElectrons,HeavyAtoms,RingCount,FractionCSP3,AliphaticRings,AromaticRings,SaturatedRings,AliphaticCarbocycles,AromaticCarbocycles,SaturatedCarbocycles,AliphaticHeterocycles,AromaticHeterocycles,SaturatedHeterocycles,RadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,BalabanJ,BertzCT,Chi0,Chi1,Kappa1,Kappa2
PLA,CC(O)C(=O)O,90.07799999999999,-0.5482,57.53,2.0,2.0,1.0,36.0,6.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3317230795714236,-0.4793355989963274,0.4793355989963274,0.3317230795714236,3.2575861612334887,57.058650025961626,5.1547005383792515,2.6427344100918364,5.43,1.7676338396942162
ABS_Acrylonitrile,C=CC#N,53.06399999999999,0.6959799999999999,23.79,0.0,1.0,0.0,20.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09053137537380465,-0.19312126078672762,0.19312126078672762,0.09053137537380465,2.9217836800202113,48.793987519471216,3.414213562373095,1.914213562373095,3.2299999999999995,2.23
ABS_Styrene,C=CC1=CC=CC=C1,104.15199999999997,2.3296,0.0,0.0,0.0,1.0,40.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.02625578937784246,-0.09847005004016512,0.09847005004016512,0.02625578937784246,2.9910469146846212,162.65300142116237,5.819990956308912,3.931851652578137,5.10367816091954,2.3141072195146584
ABS_Butadiene,C=CC=C,54.09199999999999,1.3584,0.0,0.0,0.0,1.0,22.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07008230826610218,-0.0990867373646055,0.0990867373646055,0.07008230826610218,2.7320508075688776,21.019550008653873,3.414213562373095,1.914213562373095,3.48,2.48
PET,OCCOC(=O)C1=CC=CC=C1C(=O)O,210.18499999999997,0.5339,83.83,2.0,4.0,4.0,80.0,15.0,1.0,0.2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3385901810523384,-0.4776203381243126,0.4776203381243126,0.3385901810523384,2.9229450292375327,371.83042670586934,11.259148545064338,7.163902460147013,11.196219512195123,5.113340029696918
PETG_Modified,OCCOCC(=O)C1=CC=CC=C1C(=O)O,224.212,0.5764,83.83,2.0,4.0,6.0,86.0,16.0,1.0,0.2727272727272727,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3359271084277746,-0.47762199310103104,0.47762199310103104,0.3359271084277746,2.7819882617767444,385.71624138917565,11.966255326250886,7.663902460147013,12.350028011204483,5.992974445652123
Nylon_6,NCCCCCC(=O)O,131.175,0.5901000000000001,63.32000000000001,2.0,2.0,5.0,54.0,9.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30283956335443907,-0.4812303897671254,0.4812303897671254,0.30283956335443907,2.8288681349096856,83.12704561867443,7.112884175122364,4.270055610029662,8.43,5.564589502018842
Nylon_66,NCCCCC(=O)NCCCCCC(=O)O,230.30799999999994,0.8765999999999994,92.42,3.0,3.0,10.0,94.0,16.0,0.0,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.302839565984305,-0.4812303897601587,0.4812303897601587,0.302839565984305,3.1783510867327522,207.4063559128673,12.22576835024473,7.663902460147014,14.9,10.418895545245709
TPU,O=C(NCCCCN)OCCCCO,204.26999999999998,0.22399999999999987,84.58000000000001,3.0,4.0,8.0,84.0,14.0,0.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.406624333489881,-0.449562994906352,0.449562994906352,0.406624333489881,3.1134825987889045,128.0187563936622,10.648418081055103,6.808060412490447,13.19,10.272034454470877
PEEK,O=C1C=CC(=O)C=C1OC2=CC=CC=C2O,216.192,1.3629,63.60000000000001,1.0,4.0,2.0,80.0,16.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.22080699459471365,-0.5042389041621866,0.5042389041621866,0.22080699459471365,2.2562072629449004,511.5049749183393,11.543605595440512,7.664703797946448,10.167785242915583,4.020070308274743
